Label,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Calmar,Win Rate,Best Month,Worst Month,Total Return,Years,K
Top 1,0.398654331835941,0.5635445211689255,0.23583070204871487,0.4648777544666352,-0.7547384656446413,0.5282019533686284,0.5882352941176471,0.7414521252787116,-0.40117414541013907,1247.3773727545997,21.25,1
Top 2,0.5463220561998896,0.4140251309789685,0.34610499766936936,0.6369252032352739,-0.6209118775320366,0.8798705194227848,0.6549019607843137,0.4530867137589002,-0.38130975148075386,10533.743098099081,21.25,2
Top 3,0.5503946218817326,0.3924423584225065,0.35864594423716445,0.7741761885663996,-0.6095084262001217,0.9030139670309003,0.6862745098039216,0.7062832396834376,-0.2738279781626483,11139.325503605856,21.25,3
Top 4,0.4606055899087962,0.3406265982051714,0.34731023910674214,0.6388929337144865,-0.59735523798234,0.7710748322297516,0.6745098039215687,0.6101261187754216,-0.27259427243879575,3134.6340086328123,21.25,4
Top 5,0.4116568549169459,0.30454480821088187,0.34552083505926673,0.6010883406261048,-0.5662017813871193,0.7270497346519137,0.6705882352941176,0.5019432787508261,-0.23727840429813277,1518.6523794709717,21.25,5
Top 6,0.38803964236102795,0.28672453706538986,0.3447835960255058,0.5819697528154801,-0.5045192943566612,0.7691274579614195,0.6549019607843137,0.4226083848939249,-0.23845201203645883,1060.7926916896567,21.25,6
Top 7,0.37328478427889467,0.2662618046554698,0.3538590331491108,0.5685229489704152,-0.49174343577617474,0.759104763014674,0.6705882352941176,0.3623966463796067,-0.22324798498720946,845.0829122464489,21.25,7
Top 8,0.37130321183611503,0.2568531933942146,0.3624777845799286,0.593769526828418,-0.48972269512276057,0.7581907384199115,0.6627450980392157,0.3459355609589698,-0.21965344758045702,819.515388672777,21.25,8
Top 9,0.3564880168550699,0.25260373661556823,0.3547937898211464,0.5763254614253643,-0.5176371748850657,0.6886831822583517,0.6666666666666666,0.30882484851262126,-0.22032293599316535,650.3871449562657,21.25,9
Top 10,0.3486881864873923,0.2465712445036619,0.3549603535734135,0.5759900427587338,-0.5159313311051132,0.6758422399750565,0.6666666666666666,0.2853744875109489,-0.21654539343530885,575.2627006526321,21.25,10
Top 11,0.33515513676923914,0.23990810030813697,0.3505772966111017,0.5527774221577743,-0.5110407431508556,0.6558286032202011,0.6705882352941176,0.25787016234062704,-0.21241176129277006,464.1031523012607,21.25,11
Top 12,0.3223109230401926,0.2346967822799498,0.3447365494222825,0.5382326271451487,-0.5026616318741295,0.641208523989557,0.6705882352941176,0.24891254186537512,-0.21074052089682246,377.73783411077636,21.25,12
Top 13,0.30758581021466647,0.23293341696008002,0.332711531892223,0.5207559227253011,-0.49540935129129976,0.6208720312059806,0.6588235294117647,0.2290846477164879,-0.20837111764554794,297.5325764317515,21.25,13
Top 14,0.2987628949486121,0.22954202000190502,0.3280178030719948,0.5038840467678477,-0.4974486658075901,0.6005904035617046,0.6666666666666666,0.2278952925119921,-0.1966372736081991,257.5293126159458,21.25,14
Top 15,0.2825933521235513,0.2264264055220218,0.3153954758930613,0.47962712002479074,-0.519407625399837,0.5440685471377371,0.6588235294117647,0.21837683369394192,-0.1946289872612144,197.10294060173038,21.25,15
Top 16,0.2731336235011892,0.2217182638540683,0.3109217790043231,0.46784774240927757,-0.5038150622008718,0.5421307221503641,0.6549019607843137,0.20744327339215335,-0.19318217411394806,168.2669799082633,21.25,16
Top 17,0.25943377478254126,0.2186117817552234,0.29988883973034874,0.4520067061700782,-0.5004671410936252,0.5183832333439999,0.6549019607843137,0.19147766170698866,-0.19344261172243304,133.5011152610858,21.25,17
Top 18,0.252952490542939,0.21572744335120675,0.2960295786157808,0.4436838421988662,-0.5108215785927294,0.4951875589120607,0.6627450980392157,0.19151060999384065,-0.18424815228769684,119.53421094218282,21.25,18
Top 19,0.24904217225442893,0.2133847007946532,0.29430092299876265,0.44440360939605117,-0.5187231816211799,0.4801061164764037,0.6705882352941176,0.18693015188246018,-0.17865218030800878,111.78813552458654,21.25,19
Top 20,0.23331937481648612,0.21026467617707692,0.28007097163980277,0.42365995280970364,-0.5205129839032289,0.4482489045073728,0.6666666666666666,0.18235829701425527,-0.17511540675878287,85.1698872279826,21.25,20
