K,CAGR_0,Sharpe_0,Sortino_0,MaxDD_0,Calmar_0,Worst_0,CVaR_0,CAGR_20,Sharpe_20,Sortino_20,MaxDD_20,Calmar_20,rank_sharpe,rank_cagr,rank_sortino,rank_calmar,rank_maxdd,rank_worst,combined
1,0.4708563390671552,0.2768102360449901,0.5528211735036956,-0.5494540770021275,0.856953035340444,-0.30026631767182577,-0.2115803330871698,0.44483438019584187,0.2662388921141434,0.5306006108022012,-0.5671537383560404,0.7843276877363885,0.03333333333333333,0.7666666666666667,0.03333333333333333,0.03333333333333333,1.0,0.03333333333333333,0.3166666666666667
2,0.5859219285600734,0.37889703251491924,0.711358098092852,-0.39874723876983437,1.4694068612680233,-0.26009532597811374,-0.1728635966835568,0.5629898045397448,0.36787060639523544,0.6869446086508914,-0.40799093877589243,1.3799076181174517,0.06666666666666667,1.0,0.06666666666666667,0.06666666666666667,0.9666666666666667,0.06666666666666667,0.37222222222222223
3,0.5717995328166512,0.4281486534104998,0.8538532612206489,-0.2531894282377324,2.2583862872811564,-0.19024916690757587,-0.13425154241314088,0.5483270705999632,0.4147839814272836,0.8236711939114395,-0.25433594787458214,2.1559165158609574,0.1,0.9666666666666667,0.1,0.4,0.9333333333333333,0.1,0.43333333333333335
4,0.5386567751669342,0.4589906284846362,0.8755706027131397,-0.2238618689990938,2.4062015455124905,-0.17972617567970553,-0.12040014844967166,0.517727966402787,0.4450620871138323,0.8434763267998329,-0.22648025699692548,2.285973944341715,0.2,0.9333333333333333,0.13333333333333333,0.6666666666666666,0.9,0.13333333333333333,0.4944444444444444
5,0.5270378591898972,0.4822436589662609,0.9377028325155834,-0.20250930185799318,2.6025365469852595,-0.1557787994125875,-0.11067995714034844,0.5063909569023162,0.46718639581465105,0.9003434011330571,-0.20604302732093144,2.4576951886537977,0.6,0.9,0.4,0.7333333333333333,0.8666666666666667,0.16666666666666666,0.611111111111111
6,0.4999669706821097,0.4881595177149943,0.9514975757330443,-0.18515541724194967,2.7002556993986504,-0.14363679696173037,-0.10306146404521487,0.48009459241909247,0.47262976474333324,0.915763847893367,-0.1875011553214744,2.5604887159013012,0.6666666666666666,0.8666666666666667,0.6,0.8333333333333334,0.8333333333333334,0.2,0.6666666666666666
7,0.4671825105618612,0.4854025589487456,0.9226382040524302,-0.16446515878007023,2.8406169065060003,-0.1384785277026759,-0.09923193779717332,0.44758913976643333,0.4687044670883215,0.8872519312515169,-0.16759644992426764,2.6706361618559753,0.6333333333333333,0.8333333333333334,0.26666666666666666,0.8666666666666667,0.7,0.23333333333333334,0.5888888888888889
8,0.46611368623767446,0.505706230828612,1.024251586456679,-0.15088586992663255,3.0891804942657637,-0.11653448744220811,-0.0877982501130022,0.4467352905280244,0.4884808541100562,0.9757514974075593,-0.15364884256227593,2.907508335749139,0.7333333333333333,0.8,0.7333333333333333,0.9666666666666667,0.43333333333333335,0.26666666666666666,0.6555555555555556
9,0.46071003599625326,0.5154688749029245,1.0837721869700598,-0.1467228413668532,3.140002140800514,-0.1067466271182996,-0.08189296531327915,0.441575388866172,0.4978219545274716,1.0322492458668828,-0.15000521424245664,2.943733596836469,0.8,0.7333333333333333,0.8,1.0,0.36666666666666664,0.4,0.6833333333333332
10,0.44494964843296714,0.5202014649172297,1.1301509009985773,-0.14746425524912102,3.0173389997547853,-0.1040257804225774,-0.07588004230283638,0.4262029505064504,0.5018256375066565,1.0739791286767362,-0.1520649203754258,2.802769695036951,0.8333333333333334,0.7,0.9666666666666667,0.9333333333333333,0.4,0.5,0.7222222222222223
